в,856
и,634
не,306
на,304
я,230
с,212
как,182
что,168
к,145
а,135
это,116
о,114
арво,113
все,109
из,107
его,105
но,104
он,95
по,89
от,84
за,79
мы,72
же,72
бы,66
так,65
мне,58
было,57
когда,55
она,55
то,55
стихи,53
у,52
поэзии,51
метс,50
поэта,49
или,47
для,43
только,43
ты,42
верлибра,40
всего,38
еще,38
ли,38
они,37
ее,37
стихотворении,37
время,35
жизни,34
их,34
меня,33
поэт,33
здесь,33
стихотворение,33
стихотворения,32
был,31
без,31
во,30
стих,30
очень,30
где,29
если,29
вы,29
себе,28
чтобы,28
поэтов,28
вот,27
даже,27
уже,27
со,27
нет,26
метса,26
верлибр,26
поэзия,26
русского,25
эти,25
больше,25
может,25
стиха,25
после,24
нас,24
до,24
том,24
человек,23
чем,23
строки,23
году,23
есть,22
были,22
этом,22
пришла,22
солнце,22
можно,22
свободный,22
жизнь,21
себя,21
них,21
мира,21
тебя,21
словно,21
мир,21
слова,21
много,21
верлибре,21
судьба,20
сам,20
ни,20
нужно,20
знаю,19
более,19
весь,19
мой,19
под,19
тебе,19
через,19
два,19
день,19
тем,19
стихов,19
стихах,19
хотя,18
своей,18
глаза,18
солнца,18
девушки,18
быть,18
всегда,18
один,17
могу,17
ему,17
этот,17
лет,17
мороза,17
тогда,16
годы,16
людей,16
которая,16
русской,16
над,16
нам,16
ведь,16
тоже,16
такой,15
свет,15
который,15
которые,15
того,15
люди,14
хочу,14
между,14
какие,14
две,14
небо,14
идут,14
одно,14
при,14
именно,14
стихе,14
осенних,13
потому,13
года,13
будет,13
несколько,13
лишь,13
кто-то,13
раз,13
человека,13
руки,13
белый,13
иногда,13
которых,13
кто,13
2,13
3,13
оно,13
свободного,13
блок,13
поэтому,13
лесах,12
перед,12
моя,12
нем,12
лежит,12
сегодня,12
три,12
вдруг,12
ничего,12
ней,12
писал,12
пушкина,12
эта,12
прежде,12
мало,12
книга,12
блока,12
сейчас,12
слово,11
наш,11
вместе,11
литературы,11
что-то,11
отец,11
душа,11
мои,11
мысли,11
вас,11
него,11
н,11
этого,11
была,11
многих,10
пути,10
основе,10
свой,10
земле,10
среди,10
мою,10
мире,10
друг,10
цветы,10
там,10
вам,10
1992,10
годовые,10
кольца,10
своим,10
кажется,10
россии,10
двух,10
одной,10
строк,10
взгляд,10
поэтической,10
думаю,10
эстонской,9
института,9
словом,9
всех,9
совершенно,9
воздух,9
гармонии,9
начало,9
стоит,9
которую,9
никто,9
люблю,9
идет,9
легко,9
окно,9
стал,9
почти,9
комнату,9
период,9
всеми,9
пушкин,9
1,9
становится,9
сердца,9
такие,9
об,9
душе,9
наиболее,9
некоторые,9
год,9
журнала,9
интонация,9
строке,9
читателя,9
мысль,9
содержания,9
свободном,9
отношение,9
вся,8
тому,8
той,8
маленькая,8
слов,8
своих,8
времена,8
сказать,8
сделать,8
которого,8
владимир,8
тихо,8
хорошо,8
золотые,8
неба,8
где-то,8
маленький,8
увидеть,8
города,8
помню,8
землю,8
москва,8
дух,8
кого,8
дети,8
свою,8
гудение,8
мной,8
долго,8
березы,8
синь,8
свое,8
переводы,8
им,8
снег,8
начале,8
чуть,8
ей,8
книгу,8
образ,8
которой,8
случае,8
одного,8
стихотворений,8
строфа,8
главное,8
статье,8
пишет,8
русский,8
сергей,8
наровчатов,8
происходит,7
настигла,7
людям,7
лирика,7
руси,7
впрочем,7
поэтом,7
музыка,7
боль,7
дом,7
касается,7
золотой,7
будущее,7
земли,7
листья,7
осенние,7
ночь,7
мимо,7
иду,7
красотой,7
тени,7
глазах,7
собой,7
будто,7
домой,7
книги,7
поэзию,7
вокруг,7
камни,7
моей,7
куда,7
исчезаю,7
весне,7
ко,7
1967,7
работы,7
доме,7
времени,7
солнечный,7
каждый,7
голос,7
сердце,7
любовь,7
взял,7
речи,7
большой,7
г,7
чувства,7
статьи,7
случайно,7
форме,7
наполнила,7
возможно,7
интонации,7
строфы,7
культуры,7
должен,7
русском,7
красоте,7
писателей,7
антологию,7
статья,7
пр,7
говорить,6
тех,6
этим,6
парня,6
надо,6
сказал,6
эстония,6
художественного,6
облака,6
цивилизации,6
нами,6
какой,6
опять,6
крови,6
те,6
всем,6
хороший,6
почему,6
написал,6
настоящей,6
вечности,6
вновь,6
остались,6
ливень,6
второй,6
давно,6
смотреть,6
начинают,6
прогулки,6
лист,6
звезды,6
двери,6
лица,6
стою,6
птицы,6
немного,6
никогда,6
ветер,6
потом,6
музыки,6
делает,6
многие,6
друга,6
умею,6
чувствую,6
сад,6
тобой,6
все-таки,6
разных,6
бог,6
деревянном,6
звезда,6
да,6
купола,6
начинает,6
ваших,6
миг,6
внимательно,6
сразу,6
как-то,6
искусство,6
сколько,6
эстонского,6
говорила,6
делать,6
цикла,6
действительно,6
озеро,6
цветок,6
чего,6
мамы,6
работал,6
пока,6
радость,6
рукопись,6
сборник,6
какой-то,6
виду,6
казалось,6
вечера,6
рублева,6
кроме,6
верлибру,6
литературной,6
строках,6
таких,6
волнуется,6
образом,6
5,6
4,6
тут,6
паоло,6
трех,6
первая,6
роль,6
написано,6
поэтическая,6
матери,6
вообще,6
канонического,6
москве,6
студии,6
составитель,6
глуши,5
страшно,5
литературного,5
имени,5
поэтами,5
вверх,5
возле,5
вот-вот,5
вдаль,5
вопросы,5
первых,5
годов,5
редко,5
разговор,5
конечно,5
увидел,5
последнее,5
последней,5
нравственное,5
здание,5
построено,5
песке,5
небосвода,5
1962,5
утром,5
дверь,5
твои,5
смотрю,5
девушек,5
ноги,5
утро,5
улице,5
несет,5
головы,5
счастья,5
стать,5
дыхание,5
ходит,5
городе,5
внутри,5
смотрит,5
поют,5
трудом,5
особенно,5
самого,5
поэту,5
запах,5
смысл,5
нести,5
столько,5
личность,5
лицо,5
улыбок,5
тот,5
ждет,5
деле,5
пчел,5
видно,5
красоту,5
нее,5
свои,5
нашей,5
комнате,5
работу,5
дело,5
теми,5
живет,5
мама,5
вечером,5
пеленки,5
еле,5
стены,5
взять,5
такого,5
злобе,5
играют,5
одна,5
молитва,5
медленно,5
язык,5
наших,5
рублевская,5
писать,5
слышит,5
богатство,5
забыл,5
конце,5
хотел,5
девочка,5
ой,5
другой,5
нашего,5
вовсе,5
имя,5
самой,5
сын,5
такое,5
профессор,5
открывает,5
языке,5
б,5
печи,5
этих,5
стороны,5
приходит,5
неизданные,5
поэты,5
размышляя,5
6,5
стоите,5
моем,5
поэтики,5
девушке,5
живой,5
звучит,5
буквально,5
содержанию,5
условно,5
назвать,5
волоховой,5
видимо,5
находим,5
болтовней,5
толстый,5
волнения,5
пять,5
возникает,5
стык,5
франчески,5
также,5
хорей,5
каноническом,5
читатель,5
читателем,5
идеала,5
первый,5
бурич,5
чувство,5
газете,5
поэтический,5
хх,5
писатель,5
др,5
последний,5
вячеслав,5
куприянов,5
1989,5
судьбы,4
век,4
институт,4
обычно,4
знал,4
голову,4
века,4
прошли,4
превращается,4
довольно,4
будут,4
реки,4
видеть,4
солнечных,4
лучей,4
незадолго,4
кончины,4
дрова,4
успел,4
предисловии,4
книге,4
1997,4
необъятность,4
смирнов,4
комсомольск-на-амуре,4
пярну,4
окном,4
спишь,4
весна,4
наши,4
сосет,4
луч,4
вниз,4
старой,4
женщина,4
руку,4
четыре,4
большие,4
темные,4
играет,4
разные,4
вечерами,4
капельки,4
линии,4
темноту,4
рядом,4
пор,4
часто,4
сквозь,4
земля,4
моего,4
синий,4
дня,4
рукой,4
встает,4
лежат,4
молодые,4
дома,4
детства,4
детей,4
письма,4
дали,4
1965,4
искал,4
мгновенна,4
улицах,4
подобно,4
вещи,4
когда-нибудь,4
будем,4
наше,4
пыль,4
новые,4
наконец,4
струна,4
вещей,4
камень,4
ключ,4
вечер,4
такая,4
саду,4
книг,4
становятся,4
читать,4
прошел,4
аисты,4
эстонию,4
вид,4
постепенно,4
спасибо,4
далеко,4
вешая,4
кончается,4
июльских,4
травах,4
золотое,4
добрый,4
толпой,4
лучик,4
заботами,4
маленькое,4
капли,4
крупные,4
душу,4
дон,4
вероятно,4
темных,4
говорят,4
вытекающими,4
последствиями,4
маму,4
поле,4
нельзя,4
та,4
дерева,4
хотите,4
по-русски,4
лето,4
какая-то,4
прелесть,4
читал,4
глядя,4
ту,4
старом,4
твой,4
солнцем,4
стали,4
знаешь,4
ростки,4
знаем,4
бабка,4
тропы,4
слишком,4
двадцати,4
лесу,4
своем,4
зимнее,4
другу,4
клевер,4
вопрос,4
старался,4
наверное,4
выше,4
